zip	lat	lon	state	county	city
43046	39.89917	-82.53844	OH	Fairfield	Millersport
43047	40.20795	-83.63797	OH	Champaign	Mingo
43048	40.35018	-82.63004	OH	Knox	Mount Liberty
43050	40.37188	-82.49536	OH	Knox	Mount Vernon
43054	40.07998	-82.79253	OH	Franklin	New Albany
43055	40.11680	-82.37672	OH	Licking	Newark
43056	40.00895	-82.33057	OH	Licking	Heath
43058	40.05958	-82.40378	OH	Licking	Newark
43060	40.21978	-83.57295	OH	Champaign	North Lewisburg
43061	40.28775	-83.20256	OH	Delaware	Ostrander
43062	40.00556	-82.67964	OH	Licking	Pataskala
43064	40.09819	-83.28863	OH	Madison	Plain City
43065	40.17655	-83.09445	OH	Delaware	Powell
43066	40.39877	-83.16313	OH	Delaware	Radnor
43067	40.34368	-83.48388	OH	Union	Raymond
43068	39.95667	-82.78468	OH	Franklin	Reynoldsburg
43069	39.95000	-82.81219	OH	Franklin	Reynoldsburg
43070	40.22056	-83.95651	OH	Champaign	Rosewood
43071	40.18479	-82.35509	OH	Licking	Saint Louisville
43072	40.11720	-83.95514	OH	Champaign	Saint Paris
43073	40.00197	-82.75103	OH	Licking	Summit Station
43074	40.28008	-82.84899	OH	Delaware	Sunbury
43076	39.89594	-82.39497	OH	Perry	Thornville
43077	40.13675	-83.34165	OH	Union	Unionville Center
43078	40.11302	-83.77538	OH	Champaign	Urbana
43080	40.24284	-82.43126	OH	Licking	Utica
43081	40.11064	-82.89083	OH	Franklin	Westerville
43082	40.15537	-82.88437	OH	Delaware	Westerville
43083	40.10838	-83.83623	OH	Champaign	Westville
43084	40.15764	-83.54223	OH	Champaign	Woodstock
43085	40.09959	-83.01639	OH	Franklin	Columbus
43086	40.11745	-82.91666	OH	Franklin	Westerville
43093	40.05817	-82.45232	OH	Licking	Newark
43101	39.46466	-82.74563	OH	Ross	Adelphi
43102	39.64076	-82.76118	OH	Fairfield	Amanda
43103	39.72484	-82.93428	OH	Pickaway	Ashville
43105	39.86513	-82.61826	OH	Fairfield	Baltimore
43106	39.64480	-83.41853	OH	Fayette	Bloomingburg
43107	39.69254	-82.40993	OH	Fairfield	Bremen
43109	39.91270	-82.83385	OH	Franklin	Brice
43110	39.82825	-82.80143	OH	Fairfield	Canal Winchester
43111	39.50212	-82.24257	OH	Hocking	Carbon Hill
43112	39.79719	-82.70472	OH	Fairfield	Carroll
43113	39.59114	-82.96192	OH	Pickaway	Circleville
43115	39.48989	-83.16579	OH	Ross	Clarksburg
43116	39.77284	-83.06275	OH	Pickaway	Commercial Point
43117	39.76874	-83.20622	OH	Pickaway	Derby
43119	39.93487	-83.20059	OH	Franklin	Galloway
43123	39.86801	-83.12088	OH	Franklin	Grove City
43125	39.83747	-82.88588	OH	Franklin	Groveport
43126	39.81077	-83.16857	OH	Franklin	Harrisburg
43127	39.47559	-82.32183	OH	Hocking	Haydenville
43128	39.66359	-83.57893	OH	Fayette	Jeffersonville
43130	39.70013	-82.60992	OH	Fairfield	Lancaster
43135	39.47110	-82.69736	OH	Hocking	Laurelville
